Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
511,"July 31, 2025",18:35,F9B5,Vandenberg,Starlink,"~14,060 kg",SSO,SpaceX,Success,Success (
512,"August 1, 2025",15:43,F9B5,Kennedy,Crew-11,"~13,000 kg",LEO,NASA,Success,Success (
513,"August 4, 2025",07:57,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
514,"August 11, 2025",12:35,F9B5,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,Success,Success (
515,"August 14, 2025",05:05,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
516,"August 14, 2025",12:29,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
517,"August 18, 2025",16:26,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
518,"August 22, 2025",03:50,F9B5‑[,Kennedy,USSF-36,"~4,990 kg",LEO,USSF,Success,Success (
519,"August 22, 2025",17:04,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
520,"August 24, 2025",06:45,F9B5,Cape Canaveral,SpaceX CRS-33,"2,300 kg",LEO,NASA,Success,Success (
521,"August 26, 2025",18:53,F9B5,Vandenberg,NAOS,"~1,370 kg",SSO,Luxembourg Armed Forces,Success,Success (
522,"August 27, 2025",11:10,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
523,"August 28, 2025",08:12,F9B5,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
524,"August 30, 2025",04:59,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
525,"August 31, 2025",11:49,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
526,"September 3, 2025",03:51,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
527,"September 3, 2025",11:56,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
528,"September 5, 2025",12:32,F9B5,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
529,"September 6, 2025",18:06,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
530,"September 10, 2025",14:12,F9B5,Vandenberg,SDA Tranche 1 Transport Layer B,U,Polar,SDA,Success,Success (
531,"September 12, 2025",01:56,F9B5,Cape Canaveral,Nusantara Lima,"~7,800 kg",GTO,PT Pasifik Satelit Nusantara,Success,Success (
532,"September 13, 2025",17:55,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
533,"September 14, 2025",22:11,F9B5,Cape Canaveral,"CRS NG-23 (S.S. William ""Willie"" C. McCool)","5,000 kg",LEO,Northrop Grumman,Success,Success (
534,"September 18, 2025",09:30,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
535,"September 19, 2025",16:31,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
536,"September 21, 2025",10:53,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
537,"September 22, 2025",17:38,F9B5,Vandenberg,NROL-48,U,LEO,NRO,Success,Success (
538,"September 24, 2025",11:30,F9B5,Kennedy,Interstellar Mapping and Acceleration Probe,"1,477 kg",,NASA,Success,Success (
539,"September 25, 2025",08:39,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
540,"September 26, 2025",04:26,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
