Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
595,"January 30, 2026",07:22,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
596,"February 2, 2026",15:47,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
597,"February 7, 2026",20:58,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
598,"February 11, 2026",17:11,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
599,"February 13, 2026",10:15,F9B5,Cape Canaveral,Crew-12,"~13,000 kg",LEO,NASA,Success,Success (
600,"February 15, 2026",01:59,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
601,"February 16, 2026",07:59,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
602,"February 20, 2026",01:41,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
603,"February 21, 2026",09:04,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
604,"February 22, 2026",03:47,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
605,"February 24, 2026",23:04,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
606,"February 25, 2026",14:17,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
607,"February 27, 2026",12:16,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
608,"March 1, 2026",10:10,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
609,"March 2, 2026",02:56,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
610,"March 4, 2026",10:52,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
611,"March 8, 2026",11:00,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
612,"March 10, 2026",04:19,F9B5,Cape Canaveral,EchoStar XXV,"6,800 kg",GTO,EchoStar,Success,Success (
613,"March 13, 2026",14:57,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
614,"March 14, 2026",12:37,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
615,"March 17, 2026",05:19,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
616,"March 17, 2026",13:27,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
617,"March 19, 2026",14:20,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
618,"March 20, 2026",21:51,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
619,"March 22, 2026",14:47,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
620,"March 26, 2026",23:03,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
621,"March 30, 2026",11:02,F9B5,Vandenberg,Transporter-16,U,SSO,Various,Success,Success (
622,"March 30, 2026",21:15,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
623,"April 2, 2026",11:55,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
624,"April 7, 2026",02:50,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
625,"April 11, 2026",05:04,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
626,"April 11, 2026",11:41,F9B5,Cape Canaveral,Cygnus NG-24,"5,000 kg",LEO,Northrop Grumman,Success,Success (
627,"April 14, 2026",09:33,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
628,"April 15, 2026",04:29,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
629,"April 19, 2026",16:03,F9B5,Vandenberg,Starlink,"~14,375 kg",LEO,SpaceX,Success,Success (
630,"April 21, 2026",06:53,F9B5,Cape Canaveral,GPS III,"4,350 kg",MEO,USSF,Success,Success (
631,"April 23, 2026",03:23,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
632,"April 26, 2026",14:37,F9B5,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,Success (
633,"April 30, 2026",02:42,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
634,"May 1, 2026",18:06,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
635,"May 3, 2026",07:00,F9B5,Vandenberg,CAS500,500 kg,SSO,Korea Aerospace Industries,Success,Success (
636,"May 6, 2026",03:59,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
637,"May 12, 2026",02:13,F9B5,Vandenberg,NROL-172,U,LEO,NRO,Success,Success (
638,"May 15, 2026",22:05,F9B5,Cape Canaveral,SpaceX CRS-34,"2,948 kg",LEO,NASA,Success,Success (
639,"May 20, 2026",02:46,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
640,"May 21, 2026",10:04,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
641,"May 25, 2026",11:48,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
642,"May 26, 2026",14:50,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
643,"May 29, 2026",12:57,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
644,"May 30, 2026",15:25,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
645,"June 3, 2026",15:40,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
646,"June 4, 2026",10:26,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
647,"June 7, 2026",04:24,F9B5,Vandenberg,Starlink,"~12,075 kg",SSO,SpaceX,Success,Success (
648,"June 8, 2026",10:13,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
649,"June 11, 2026",15:05,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
650,"June 12, 2026",12:37,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
651,"June 15, 2026",15:34,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
652,"June 17, 2026",06:39,F9B5,Cape Canaveral,BlueBird,"~13,500 kg",LEO,AST SpaceMobile,Success,Success (
653,"June 19, 2026",08:50,F9B5,Vandenberg,NROL-179,C,LEO,NRO,Success,Success (
654,"June 21, 2026",16:39,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
655,"June 23, 2026",10:53,F9B5,Cape Canaveral,SpaceX Starfall,U,LEO,SpaceX,Success,Success (
656,"June 25, 2026",03:30,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
657,"June 28, 2026",16:09,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
658,"June 29, 2026",02:25,F9B5,Cape Canaveral,SXM-11,"7,000 kg",GTO,SiriusXM,Success,Success (
659,"July 2, 2026",02:58,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
660,"July 5, 2026",10:50,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
661,"July 7, 2026",07:12,F9B5,Vandenberg,Transporter-17,U,SSO,Various,Success,Success (
662,"July 9, 2026",09:25,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
663,"July 11, 2026",03:01,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
664,"July 14, 2026",01:28,F9B5,Vandenberg,Starlink,"~15,525 kg",LEO,SpaceX,Success,Success (
665,"July 14, 2026",09:10,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
666,"July 16, 2026",20:32,F9B5,Vandenberg,SDA Tranche 1 Transport Layer E,U,Polar,SDA,Success,Success (
667,"July 21, 2026",14:49,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
668,"July 21, 2026",21:15,F9B5,Cape Canaveral,Mission Robotic Vehicle,"~4,200 kg",GTO,Northrop Grumman,Success,No attempt
669,"July 25, 2026",15:51,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
670,"July 30, 2026",07:10,F9B5,Cape Canaveral,NROL-95,U,LEO,NRO,Success,Success (
671,"August 1, 2026",03:08,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
672,"August 4, 2026",17:05,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
673,"August 5, 2026",07:49,F9B5,Cape Canaveral,BlueBird,"~13,500 kg",LEO,AST SpaceMobile,Success,Success (
674,"August 8, 2026",16:35,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
675,"August 11, 2026",15:58,F9B5,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
676,"August 12, 2026",04:46,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
677,"August 16, 2026",01:12,F9B5,Cape Canaveral,Globalstar,"4,000 kg",LEO,Globalstar,Success,Success (
678,"August 16, 2026",01:50,F9B5,Vandenberg,USSF-366 (R-1),U,LEO,USSF,Success,Success (
679,"August 19, 2026",04:01,F9B5,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,Success (
